Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Natashquan,Que.,262,263,-0.4,667.91,0.4
Nutashkuan,Que.,915,835,9.6,1.35,678.5
Pakuashipi 5,Que.,0,237,0,3.87,0
Petit-Mécatina,Que.,0,0,0,"35,347.19",0
Rivière-Saint-Jean,Que.,227,215,5.6,513.36,0.4
Rivière-au-Tonnerre,Que.,281,279,0.7,605.14,0.5
Romaine 2 5,Que.,0,977,0,0.84,0
Saint-Augustin,Que.,425,445,-4.5,"1,137.68",0.4
Mirabel,Que.,"61,108","50,513",21,484.09,126.2
Saint-Alexis,Que.,"1,370","1,308",4.7,43.01,31.9
Saint-Calixte,Que.,"6,792","6,046",12.3,142.63,47.6
Saint-Esprit,Que.,"2,011","1,967",2.2,54.19,37.1
Saint-Jacques,Que.,"4,302","3,971",8.3,67.17,64
Saint-Liguori,Que.,"2,066","1,943",6.3,50.88,40.6
Saint-Lin--Laurentides,Que.,"24,030","20,786",15.6,118.29,203.2
Saint-Roch-Ouest,Que.,262,266,-1.5,20.14,13
Saint-Roch-de-l'Achigan,Que.,"5,453","5,147",5.9,80.06,68.1
Sainte-Julienne,Que.,"11,173","9,953",12.3,99.42,112.4
Sainte-Marie-Salomé,Que.,"1,221","1,209",1,33.79,36.1
Berthier-sur-Mer,Que.,"1,744","1,555",12.2,26.85,65
Cap-Saint-Ignace,Que.,"3,099","3,089",0.3,204.32,15.2
Lac-Frontière,Que.,175,184,-4.9,49.96,3.5
Montmagny,Que.,"10,999","11,255",-2.3,124.44,88.4
Notre-Dame-du-Rosaire,Que.,371,392,-5.4,164.63,2.3
Saint-Antoine-de-l'Isle-aux-Grues,Que.,122,144,-15.3,23.97,5.1
Saint-Fabien-de-Panet,Que.,945,954,-0.9,187.01,5.1
Saint-François-de-la-Rivière-du-Sud,Que.,"1,580","1,623",-2.6,96.35,16.4
Saint-Just-de-Bretenières,Que.,639,668,-4.3,132.6,4.8
Saint-Paul-de-Montminy,Que.,849,785,8.2,162.77,5.2
Saint-Pierre-de-la-Rivière-du-Sud,Que.,840,907,-7.4,91.05,9.2
Sainte-Apolline-de-Patton,Que.,505,542,-6.8,256.51,2
Sainte-Euphémie-sur-Rivière-du-Sud,Que.,338,320,5.6,92.44,3.7
Sainte-Lucie-de-Beauregard,Que.,275,280,-1.8,82.17,3.3
Baie-D'Urfé,Que.,"3,764","3,823",-1.5,6.03,623.9
Beaconsfield,Que.,"19,277","19,324",-0.2,11.03,"1,747.50"
Côte-Saint-Luc,Que.,"34,504","32,448",6.3,7.04,"4,903.70"
Dollard-Des Ormeaux,Que.,"48,403","48,899",-1,14.98,"3,230.20"
Dorval,Que.,"19,302","18,980",1.7,20.91,923
Hampstead,Que.,"7,037","6,973",0.9,1.79,"3,922.10"
Kirkland,Que.,"19,413","20,151",-3.7,9.65,"2,012.00"
L'Île-Dorval,Que.,30,5,500,0.19,154.7
Mont-Royal,Que.,"20,953","20,276",3.3,7.55,"2,776.70"
Montréal,Que.,"1,762,949","1,704,694",3.4,364.74,"4,833.50"
Montréal-Est,Que.,"4,394","3,850",14.1,12.15,361.6
Montréal-Ouest,Que.,"5,115","5,050",1.3,1.37,"3,737.90"
Pointe-Claire,Que.,"33,488","31,380",6.7,18.91,"1,770.90"
Sainte-Anne-de-Bellevue,Que.,"5,027","4,958",1.4,10.46,480.8
Senneville,Que.,951,921,3.3,7.45,127.7
Westmount,Que.,"19,658","20,312",-3.2,4.04,"4,860.90"
Grandes-Piles,Que.,493,415,18.8,116.97,4.2
Hérouxville,Que.,"1,367","1,278",7,54.72,25
Lac-Boulé,Que.,0,0,0,22.95,0
Lac-Masketsi,Que.,0,0,0,211.51,0
Lac-Normand,Que.,29,5,480,"2,016.35",0
Lac-aux-Sables,Que.,"1,380","1,292",6.8,269.7,5.1
Notre-Dame-de-Montauban,Que.,815,745,9.4,162.4,5
Rivière-de-la-Savane,Que.,41,0,0,"1,087.02",0
Saint-Adelphe,Que.,922,922,0,137.08,6.7
Saint-Roch-de-Mékinac,Que.,304,302,0.7,144.52,2.1
Saint-Séverin,Que.,812,846,-4,61.65,13.2
Saint-Tite,Que.,"3,672","3,673",0,91.1,40.3
Sainte-Thècle,Que.,"2,415","2,484",-2.8,212.48,11.4
Trois-Rives,Que.,512,396,29.3,597.76,0.9
Aston-Jonction,Que.,441,424,4,26.2,16.8
Baie-du-Febvre,Que.,961,988,-2.7,96.78,9.9
Grand-Saint-Esprit,Que.,488,476,2.5,27.22,17.9
La Visitation-de-Yamaska,Que.,295,327,-9.8,42.65,6.9
Nicolet,Que.,"8,620","8,169",5.5,96.11,89.7
Odanak 3,Que.,481,449,7.1,5.61,85.8
Pierreville 3,Que.,"2,104","2,143",-1.8,77.71,27.1
Saint-Célestin,Que.,892,831,7.3,1.41,631.4
Saint-Célestin,Que.,594,575,3.3,76.99,7.7
Saint-Elphège,Que.,251,270,-7,40.53,6.2
Saint-François-du-Lac,Que.,"1,898","1,965",-3.4,63.8,29.7
Saint-Léonard-d'Aston,Que.,"2,530","2,331",8.5,82.55,30.6
Saint-Wenceslas,Que.,"1,167","1,157",0.9,79.57,14.7
Saint-Zéphirin-de-Courval,Que.,707,700,1,71.94,9.8
Sainte-Eulalie,Que.,984,894,10.1,86.3,11.4
Sainte-Monique,Que.,519,501,3.6,58.1,8.9
Sainte-Perpétue,Que.,916,959,-4.5,71.51,12.8
Akulivik,Que.,642,633,1.4,75.02,8.6
Akulivik,Que.,0,0,0,433.92,0
Aupaluk,Que.,233,209,11.5,28.68,8.1
Aupaluk,Que.,0,0,0,525.88,0
Baie-d'Hudson,Que.,5,0,0,"120,831.34",0
Chapais,Que.,"1,468","1,499",-2.1,62.31,23.6
Chibougamau,Que.,"7,233","7,504",-3.6,694.87,10.4
Chisasibi,Que.,0,0,0,480.29,0
Chisasibi,Que.,"4,985","4,872",2.3,825.11,6
Eastmain,Que.,0,0,0,317.72,0
Eastmain,Que.,924,866,6.7,148.99,6.2
Eeyou Istchee Baie-James 3,Que.,"2,638","1,579",67.1,"283,123.42",0
Inukjuak,Que.,"1,821","1,757",3.6,54.92,33.2
Inukjuak,Que.,0,0,0,420.69,0
Ivujivik,Que.,412,414,-0.5,35.15,11.7
Ivujivik,Que.,0,0,0,438.05,0
Kangiqsualujjuaq,Que.,956,942,1.5,34.33,27.9
Kangiqsualujjuaq,Que.,0,0,0,530.48,0
Kangiqsujuaq,Que.,837,750,11.6,12.41,67.5
Kangiqsujuaq,Que.,0,0,0,561.33,0
Kangirsuk,Que.,561,567,-1.1,57.15,9.8
Kangirsuk,Que.,0,0,0,512.43,0
Kawawachikamach,Que.,0,0,0,234.8,0
Kuujjuaq,Que.,"2,668","2,754",-3.1,289.97,9.2
Kuujjuaq,Que.,0,0,0,315.46,0
Kuujjuarapik 3,Que.,792,654,21.1,7.45,106.3
Kuujjuarapik,Que.,0,0,0,289.92,0
Lebel-sur-Quévillon,Que.,"2,091","2,187",-4.4,44.41,47.1
Matagami,Que.,"1,402","1,453",-3.5,75.12,18.7
Mistissini,Que.,10,0,0,488.03,0
Mistissini,Que.,"3,731","3,523",5.9,807.75,4.6
Nemaska,Que.,0,0,0,47.89,0
Nemaska,Que.,832,760,9.5,98.42,8.5
Oujé-Bougoumou 3,Que.,797,747,6.7,96.22,8.3
Puvirnituq,Que.,"2,129","1,779",19.7,81.61,26.1
Quaqtaq,Que.,453,403,12.4,25.82,17.5
Quaqtaq,Que.,0,0,0,503.65,0
Rivière-Koksoak,Que.,0,0,0,"290,009.61",0
Salluit,Que.,"1,580","1,483",6.5,15.08,104.8
Salluit,Que.,0,0,0,591.68,0
Tasiujaq,Que.,420,369,13.8,65.53,6.4
Tasiujaq,Que.,0,0,0,492.69,0
Umiujaq,Que.,541,442,22.4,28.38,19.1
Umiujaq,Que.,0,0,0,253.95,0
Waskaganish,Que.,0,0,0,274.22,0
Waskaganish,Que.,"2,536","2,196",15.5,496.99,5.1
Waswanipi,Que.,0,0,0,213.35,0
Waswanipi,Que.,459,"1,759",-73.9,385.83,1.2
Wemindji,Que.,0,0,0,169.12,0
Wemindji,Que.,"1,562","1,444",8.2,387.37,4
Whapmagoostui,Que.,0,0,0,120.86,0
Whapmagoostui 3,Que.,"1,022","1,016",0.6,190.83,5.4
Boileau,Que.,405,335,20.9,134.08,3
Bowman,Que.,667,658,1.4,126.4,5.3
Chénéville,Que.,848,764,11,65.83,12.9
Duhamel,Que.,569,430,32.3,427.32,1.3
Fassett,Que.,453,431,5.1,12.52,36.2
Lac-Simon,Que.,"1,057",944,12,95.65,11.1
Lac-des-Plages,Que.,548,431,27.1,150.95,3.6
Lochaber,Que.,446,415,7.5,62.14,7.2
Lochaber-Partie-Ouest,Que.,926,856,8.2,57.39,16.1
Mayo,Que.,704,601,17.1,72.51,9.7
Montebello,Que.,934,983,-5,8.6,108.7
Montpellier,Que.,"1,112",985,12.9,246.12,4.5
Mulgrave-et-Derry,Que.,461,369,24.9,289.52,1.6
Namur,Que.,633,572,10.7,56.17,11.3
Notre-Dame-de-Bonsecours,Que.,285,301,-5.3,258.36,1.1
Notre-Dame-de-la-Paix,Que.,675,648,4.2,105.96,6.4
Papineauville,Que.,"2,153","2,101",2.5,61.13,35.2
Plaisance,Que.,"1,129","1,088",3.8,36.21,31.2
Ripon,Que.,"1,735","1,542",12.5,129.93,13.4
Saint-André-Avellin,Que.,"3,562","3,749",-5,137.34,25.9
Saint-Sixte,Que.,490,469,4.5,84.34,5.8
Saint-Émile-de-Suffolk,Que.,512,477,7.3,55.68,9.2
Thurso,Que.,"3,084","2,818",9.4,6.65,463.8
Val-des-Bois,Que.,920,865,6.4,222.67,4.1
Massueville,Que.,547,529,3.4,1.55,353
Saint-Aimé,Que.,405,461,-12.1,60.53,6.7
Saint-David,Que.,872,817,6.7,92.97,9.4
Saint-Gérard-Majella,Que.,240,242,-0.8,38.32,6.3
Saint-Joseph-de-Sorel,Que.,"1,581","1,642",-3.7,1.36,"1,164.50"
Saint-Ours,Que.,"1,723","1,669",3.2,59.23,29.1
Saint-Robert,Que.,"1,813","1,803",0.6,64.97,27.9
Saint-Roch-de-Richelieu,Que.,"2,573","2,188",17.6,34.44,74.7
Sainte-Anne-de-Sorel,Que.,"2,731","2,771",-1.4,36.41,75
Sainte-Victoire-de-Sorel,Que.,"2,457","2,461",-0.2,75.26,32.6
Sorel-Tracy,Que.,"35,165","34,755",1.2,57.28,614
Yamaska,Que.,"1,736","1,687",2.9,72.82,23.8
Alleyn-et-Cawood,Que.,229,172,33.1,308.91,0.7
Bristol,Que.,"1,199","1,036",15.7,206.19,5.8
Bryson,Que.,646,697,-7.3,3.58,180.4
Campbell's Bay,Que.,705,744,-5.2,3.42,206
Chichester 2,Que.,350,348,0.6,218.74,1.6
Clarendon,Que.,"1,392","1,256",10.8,330.46,4.2
Fort-Coulonge,Que.,"1,312","1,433",-8.4,2.96,443.9
L'Isle-aux-Allumettes,Que.,"1,382","1,334",3.6,185.94,7.4
L'Île-du-Grand-Calumet,Que.,648,626,3.5,130.55,5
Lac-Nilgaut,Que.,5,5,0,"8,966.53",0
Litchfield,Que.,500,459,8.9,198.57,2.5
Mansfield-et-Pontefract,Que.,"2,250","2,285",-1.5,466.61,4.8
Otter Lake,Que.,"1,041",932,11.7,454.7,2.3
Portage-du-Fort,Que.,232,234,-0.9,4.22,55
Rapides-des-Joachims,Que.,141,156,-9.6,238.9,0.6
Shawville,Que.,"1,668","1,587",5.1,5.38,310.1
Sheenboro 2,Que.,149,130,14.6,565.43,0.3
Thorne,Que.,528,448,17.9,173.09,3.1
Waltham,Que.,387,378,2.4,360.19,1.1
Cap-Santé 3,Que.,"3,594","3,410",5.4,54.49,66
Deschambault-Grondines,Que.,"2,235","2,220",0.7,124.02,18
Donnacona,Que.,"7,436","7,200",3.3,20.2,368.2
Lac-Blanc 2,Que.,0,0,0,549.55,0
Lac-Lapeyrère,Que.,0,0,0,376.66,0
Lac-Sergent,Que.,541,497,8.9,3.72,145.3
Linton,Que.,10,0,0,429.62,0
Neuville,Que.,"4,475","4,392",1.9,71.92,62.2
Pont-Rouge,Que.,"10,121","9,240",9.5,121.12,83.6
Portneuf,Que.,"3,329","3,187",4.5,109.1,30.5
Rivière-à-Pierre,Que.,625,584,7,515.62,1.2
Saint-Alban,Que.,"1,196","1,198",-0.2,148.47,8.1
Saint-Basile 3,Que.,"2,709","2,621",3.4,98.84,27.4
Saint-Casimir,Que.,"1,449","1,430",1.3,66.5,21.8
Saint-Gilbert,Que.,283,296,-4.4,37.44,7.6
Saint-Léonard-de-Portneuf 2,Que.,"1,140","1,113",2.4,141.8,8
Saint-Marc-des-Carrières,Que.,"2,901","2,911",-0.3,17.29,167.8
Saint-Raymond 2,Que.,"11,108","10,358",7.2,666.2,16.7
Saint-Thuribe,Que.,298,286,4.2,51,5.8
Saint-Ubalde,Que.,"1,456","1,412",3.1,140.72,10.3
Sainte-Christine-d'Auvergne 2,Que.,617,551,12,143.6,4.3
L'Ancienne-Lorette,Que.,"16,970","16,543",2.6,7.72,"2,197.00"
Notre-Dame-des-Anges,Que.,241,318,-24.2,0.04,"6,478.50"
Québec,Que.,"549,459","531,902",3.3,452.3,"1,214.80"
Saint-Augustin-de-Desmaures,Que.,"19,907","18,820",5.8,85.8,232
Wendake,Que.,"2,200","2,134",3.1,1.74,"1,262.00"
Esprit-Saint,Que.,340,341,-0.3,168.96,2
La Trinité-des-Monts,Que.,233,223,4.5,233.07,1
Lac-Huron 2,Que.,30,10,200,960.57,0
Rimouski 4,Que.,"48,935","48,664",0.6,339.13,144.3
Saint-Anaclet-de-Lessard,Que.,"3,019","3,071",-1.7,126.37,23.9
Saint-Eugène-de-Ladrière 2,Que.,413,378,9.3,331.36,1.2
Saint-Fabien,Que.,"1,834","1,837",-0.2,119.92,15.3
Saint-Marcellin,Que.,397,353,12.5,117.19,3.4
Saint-Narcisse-de-Rimouski,Que.,"1,084",961,12.8,162.4,6.7
Saint-Valérien 6,Que.,906,835,8.5,145.02,6.2
Cacouna,Que.,"1,848","1,803",2.5,62.75,29.4
L'Isle-Verte,Que.,"1,356","1,294",4.8,119.15,11.4
Notre-Dame-des-Sept-Douleurs,Que.,71,36,97.2,11.53,6.2
Notre-Dame-du-Portage,Que.,"1,296","1,151",12.6,40.06,32.4
Rivière-du-Loup,Que.,"20,118","19,507",3.1,83.74,240.2
Saint-Antonin,Que.,"4,338","4,049",7.1,175.93,24.7
Saint-Arsène,Que.,"1,245","1,230",1.2,70.81,17.6
Saint-Cyprien,Que.,"1,078","1,066",1.1,138.43,7.8
Saint-François-Xavier-de-Viger,Que.,247,245,0.8,111.27,2.2
Saint-Hubert-de-Rivière-du-Loup,Que.,"1,412","1,279",10.4,192.2,7.3
Saint-Modeste,Que.,"1,180","1,162",1.5,109.72,10.8
Saint-Paul-de-la-Croix,Que.,313,309,1.3,78.42,4
Saint-Épiphane,Que.,836,827,1.1,82.85,10.1
Beauceville 3,Que.,"6,185","6,291",-1.7,164.59,37.6
Saint-Alfred 3,Que.,519,482,7.7,43.49,11.9
Saint-Frédéric 3,Que.,"1,065",997,6.8,72.35,14.7
Saint-Joseph-de-Beauce 3,Que.,"5,014","4,858",3.2,114.7,43.7
Saint-Joseph-des-Érables,Que.,377,410,-8,51.43,7.3
Saint-Jules,Que.,547,539,1.5,55.73,9.8
Saint-Odilon-de-Cranbourne,Que.,"1,407","1,374",2.4,130.61,10.8
Saint-Séverin,Que.,300,278,7.9,58.92,5.1
Saint-Victor,Que.,"2,313","2,448",-5.5,120.45,19.2
Tring-Jonction 3,Que.,"1,526","1,448",5.4,27.32,55.9
Candiac,Que.,"22,997","21,047",9.3,17.27,"1,331.30"
Châteauguay,Que.,"50,815","47,906",6.1,34.31,"1,481.20"
Delson,Que.,"8,328","7,457",11.7,7.64,"1,089.60"
Kahnawake 5,Que.,0,0,0,49.34,0
La Prairie,Que.,"26,406","24,110",9.5,43.47,607.4
Léry,Que.,"2,390","2,318",3.1,10.36,230.7
Mercier,Que.,"14,626","13,115",11.5,45.96,318.2
Saint-Constant,Que.,"29,954","27,359",9.5,57.06,524.9
Saint-Isidore,Que.,"2,769","2,608",6.2,52.29,53
Saint-Mathieu,Que.,"2,339","2,156",8.5,31.41,74.5
Saint-Philippe,Que.,"7,597","6,320",20.2,61.96,122.6
Sainte-Catherine,Que.,"17,347","17,047",1.8,9.37,"1,851.40"
Ange-Gardien,Que.,"2,889","2,699",7,90.21,32
Marieville,Que.,"11,332","10,725",5.7,63.23,179.2
Richelieu,Que.,"5,742","5,236",9.7,30.96,185.4
Rougemont,Que.,"2,696","2,755",-2.1,43.91,61.4
Saint-Césaire,Que.,"5,972","5,877",1.6,83.06,71.9
Saint-Mathias-sur-Richelieu,Que.,"4,544","4,531",0.3,47.02,96.6
Saint-Paul-d'Abbotsford,Que.,"2,886","2,890",-0.1,79.6,36.3
Sainte-Angèle-de-Monnoir,Que.,"1,828","1,823",0.3,44.8,40.8
Rouyn-Noranda,Que.,"42,313","42,334",0,"5,963.57",7.1
Caniapiscau,Que.,0,0,0,"30,108.23",0
Fermont,Que.,"2,256","2,474",-8.8,451.12,5
Kawawachikamach,Que.,641,601,6.7,32.51,19.7
Lac-John,Que.,21,33,-36.4,0.5,41.6
Lac-Juillet,Que.,0,0,0,"2,865.50",0
Lac-Vacher,Que.,44,0,0,454.03,0.1
Lac-Walker,Que.,113,108,4.6,"17,162.43",0
Maliotenam,Que.,"1,610","1,542",4.4,5.2,309.7
Matimekosh 3,Que.,661,638,3.6,0.69,963
Port-Cartier,Que.,"6,516","6,799",-4.2,"1,092.75",6
Rivière-Mouchalagane,Que.,15,5,200,"30,999.10",0
Rivière-Nipissis,Que.,0,0,0,"9,522.28",0
Schefferville 3,Que.,244,130,87.7,24.76,9.9
Sept-Îles,Que.,"24,569","25,400",-3.3,"1,742.88",14.1
Uashat 27,Que.,"1,550","1,592",-2.6,2.36,657.2
Shawinigan,Que.,"49,620","49,349",0.5,729.98,68
Sherbrooke,Que.,"172,950","161,323",7.2,353.4,489.4
Blainville,Que.,"59,819","56,863",5.2,54.97,"1,088.20"
Bois-des-Filion,Que.,"10,159","9,636",5.4,4.36,"2,327.80"
Boisbriand,Que.,"28,308","26,884",5.3,27.67,"1,022.90"
Lorraine,Que.,"9,502","9,352",1.6,5.9,"1,609.90"
Rosemère,Que.,"14,090","13,958",0.9,10.68,"1,318.70"
Sainte-Anne-des-Plaines,Que.,"15,221","14,421",5.5,93.44,162.9
Sainte-Thérèse,Que.,"26,533","25,989",2.1,9.48,"2,798.90"
Belleterre,Que.,285,313,-8.9,544.49,0.5
Béarn 2,Que.,708,720,-1.7,496.28,1.4
Duhamel-Ouest,Que.,945,878,7.6,91.49,10.3
Fugèreville,Que.,326,326,0,157.12,2.1
Guérin,Que.,333,320,4.1,188.52,1.8
Hunter's Point,Que.,5,10,-50,1.3,3.8
Kebaowek 3,Que.,326,291,12,0.57,572.3
Kipawa 3,Que.,446,499,-10.6,35.58,12.5
Laforce,Que.,320,231,38.5,436.78,0.7
Laniel,Que.,89,82,8.5,408.2,0.2
Latulipe-et-Gaboury,Que.,320,295,8.5,270.11,1.2
Laverlochère-Angliers 3,Que.,947,978,-3.2,400.83,2.4
Les Lacs-du-Témiscamingue,Que.,10,15,-33.3,"10,366.89",0
Lorrainville,Que.,"1,286","1,272",1.1,87.91,14.6
Moffet,Que.,206,187,10.2,340.31,0.6
Notre-Dame-du-Nord,Que.,"1,090","1,052",3.6,74.34,14.7
Nédélec,Que.,340,356,-4.5,371.49,0.9
Rémigny,Que.,287,280,2.5,894.05,0.3
Saint-Bruno-de-Guigues,Que.,"1,185","1,154",2.7,125.77,9.4
Saint-Eugène-de-Guigues,Que.,458,465,-1.5,109.52,4.2
Saint-Édouard-de-Fabre,Que.,671,628,6.8,190.29,3.5
Timiskaming,Que.,541,539,0.4,18.39,29.4
Témiscaming,Que.,"2,368","2,431",-2.6,710.84,3.3
Ville-Marie,Que.,"2,464","2,584",-4.6,5.83,422.4
Winneway,Que.,176,104,69.2,0.33,532.4
Auclair,Que.,447,448,-0.2,105.78,4.2
Biencourt,Que.,433,464,-6.7,187.12,2.3
Dégelis,Que.,"2,884","2,863",0.7,556.78,5.2
Lac-des-Aigles,Que.,495,512,-3.3,86.63,5.7
Lejeune,Que.,246,262,-6.1,270.13,0.9
Packington,Que.,578,603,-4.1,118.75,4.9
Pohénégamook,Que.,"2,481","2,582",-3.9,339.99,7.3
Rivière-Bleue,Que.,"1,261","1,230",2.5,173.42,7.3
Saint-Athanase,Que.,303,317,-4.4,292.63,1
Saint-Elzéar-de-Témiscouata,Que.,311,321,-3.1,151.14,2.1
Saint-Eusèbe,Que.,587,593,-1,129.56,4.5
Saint-Honoré-de-Témiscouata,Que.,763,741,3,262.97,2.9
Saint-Jean-de-la-Lande 2,Que.,232,248,-6.5,107.03,2.2
Saint-Juste-du-Lac,Que.,543,561,-3.2,166.94,3.3
Saint-Louis-du-Ha! Ha!,Que.,"1,311","1,292",1.5,112.23,11.7
Saint-Marc-du-Lac-Long,Que.,365,397,-8.1,148.64,2.5
Saint-Michel-du-Squatec,Que.,"1,076","1,113",-3.3,361.23,3
Saint-Pierre-de-Lamy,Que.,122,117,4.3,110.63,1.1
Témiscouata-sur-le-Lac,Que.,"5,054","4,910",2.9,218.81,23.1
Coteau-du-Lac,Que.,"7,473","7,044",6.1,46.87,159.4
Hudson 4,Que.,"5,411","5,157",4.9,21.79,248.4
L'Île-Cadieux,Que.,120,126,-4.8,0.59,204.8
L'Île-Perrot,Que.,"11,638","10,756",8.2,5.46,"2,130.10"
Les Coteaux,Que.,"5,643","5,368",5.1,11.64,485
Les Cèdres,Que.,"7,184","6,777",6,77.63,92.5
Notre-Dame-de-l'Île-Perrot,Que.,"11,427","10,654",7.3,28.06,407.3
Pincourt,Que.,"14,751","14,558",1.3,7.1,"2,078.00"
Pointe-Fortune,Que.,582,580,0.3,8.09,71.9
Pointe-des-Cascades,Que.,"1,775","1,481",19.9,2.74,646.8
Rigaud,Que.,"7,854","7,777",1,99.2,79.2
Rivière-Beaudette,Que.,"2,489","2,097",18.7,18.48,134.7
Saint-Clet,Que.,"1,700","1,779",-4.4,39.32,43.2
Saint-Lazare 4,Que.,"22,354","19,917",12.2,66.86,334.3
Saint-Polycarpe,Que.,"2,372","2,224",6.7,69.88,33.9
Saint-Télesphore,Que.,754,759,-0.7,60.1,12.5
Saint-Zotique,Que.,"9,618","7,934",21.2,25.04,384
Sainte-Justine-de-Newton,Que.,947,922,2.7,84.59,11.2
Sainte-Marthe,Que.,"1,014","1,097",-7.6,79.6,12.7
Terrasse-Vaudreuil,Que.,"1,887","1,986",-5,1.06,"1,782.40"
Très-Saint-Rédempteur,Que.,978,898,8.9,26.06,37.5
Vaudreuil-Dorion,Que.,"43,268","38,117",13.5,72.65,595.5
Vaudreuil-sur-le-Lac,Que.,"1,361","1,341",1.5,1.38,983
"Algoma, Unorganized, North Part",Ont.,"6,050","5,739",5.4,"43,618.95",0.1
"Algoma, Unorganized, South East Part",Ont.,5,0,0,43.17,0.1
Blind River,Ont.,"3,422","3,472",-1.4,513.98,6.7
Bruce Mines,Ont.,582,582,0,6.09,95.6
Dubreuilville,Ont.,576,613,-6,87.53,6.6
Elliot Lake,Ont.,"11,372","10,741",5.9,696.06,16.3
Garden River 14,Ont.,"1,071","1,125",-4.8,213.71,5
Goulais Bay 15A 5,Ont.,0,0,0,6.71,0
Gros Cap 49,Ont.,63,77,-18.2,34.12,1.8
Hilton,Ont.,382,307,24.4,114.77,3.3
Hilton Beach,Ont.,198,171,15.8,2.52,78.6
Hornepayne,Ont.,968,980,-1.2,203.04,4.8
Huron Shores,Ont.,"1,860","1,664",11.8,451.87,4.1
Jocelyn,Ont.,314,313,0.3,130.43,2.4
Johnson,Ont.,749,751,-0.3,119.47,6.3
Laird,Ont.,"1,121","1,047",7.1,103.25,10.9
"Macdonald, Meredith and Aberdeen Additional",Ont.,"1,513","1,609",-6,163.26,9.3
Mississagi River 8,Ont.,414,411,0.7,18.26,22.7
Obadjiwan 15E 3 5,Ont.,0,0,0,0.71,0
Plummer Additional,Ont.,757,660,14.7,219.24,3.5
Prince,Ont.,975,"1,010",-3.5,84.98,11.5
Rankin Location 15D 5,Ont.,0,0,0,15.39,0
Sagamok,Ont.,"1,110","1,140",-2.6,96.83,11.5
Sault Ste. Marie,Ont.,"72,051","73,368",-1.8,221.99,324.6
Serpent River 7,Ont.,351,371,-5.4,76.14,4.6
Spanish,Ont.,670,712,-5.9,106.9,6.3
St. Joseph,Ont.,"1,426","1,240",15,127.65,11.2
Tarbutt and Tarbutt Additional,Ont.,573,534,7.3,52.79,10.9
The North Shore,Ont.,531,497,6.8,230.17,2.3
Thessalon,Ont.,"1,260","1,286",-2,4.38,287.5
Thessalon 12,Ont.,151,124,21.8,9.57,15.8
Wawa,Ont.,"2,705","2,905",-6.9,411.89,6.6
White River,Ont.,557,645,-13.6,95.55,5.8
Brant 3,Ont.,"39,474","35,640",10.8,817.66,48.3
Brantford 3,Ont.,"104,688","98,563",6.2,98.65,"1,061.20"
New Credit (Part) 40A,Ont.,609,605,0.7,20.1,30.3
Six Nations (Part) 40 5,Ont.,0,0,0,157.7,0
Arran-Elderslie,Ont.,"6,913","6,803",1.6,458.76,15.1
Brockton,Ont.,"9,784","9,461",3.4,564.64,17.3
Chief's Point No. 28,Ont.,15,0,0,5.76,2.6
Huron-Kinloss,Ont.,"7,723","7,069",9.3,440.73,17.5
Kincardine,Ont.,"12,268","11,389",7.7,537.8,22.8
Neyaashiinigmiing 27,Ont.,580,615,-5.7,63.76,9.1
Northern Bruce Peninsula,Ont.,"4,404","3,999",10.1,775.7,5.7
Saugeen 29,Ont.,784,"1,041",-24.7,41.42,18.9
Saugeen Shores,Ont.,"15,908","13,715",16,170.19,93.5
South Bruce,Ont.,"5,880","5,639",4.3,486.86,12.1
South Bruce Peninsula,Ont.,"9,137","8,416",8.6,530.61,17.2
Chatham-Kent,Ont.,"103,988","101,647",2.3,"2,451.90",42.4
Moravian 47,Ont.,328,395,-17,12.62,26
Abitibi 70,Ont.,156,144,8.3,78.23,2
Black River-Matheson,Ont.,"2,572","2,438",5.5,"1,161.89",2.2
Cochrane,Ont.,"5,390","5,321",1.3,537.9,10
"Cochrane, Unorganized, North Part",Ont.,"2,546","2,865",-11.1,"130,291.63",0
"Cochrane, Unorganized, South East Part",Ont.,25,10,150,53.46,0.5
"Cochrane, Unorganized, South West Part",Ont.,5,0,0,552.18,0
Constance Lake 92,Ont.,741,590,25.6,25.69,28.8
Factory Island 1,Ont.,"1,376","1,560",-11.8,3.25,423.7
Fauquier-Strickland,Ont.,467,536,-12.9,"1,010.45",0.5
Flying Post 73,Ont.,0,0,0,58.17,0
Fort Albany (Part) 67,Ont.,775,759,2.1,3.52,220.3
Hearst,Ont.,"4,794","5,070",-5.4,98.06,48.9
Iroquois Falls,Ont.,"4,418","4,537",-2.6,599.03,7.4
Kapuskasing,Ont.,"8,057","8,292",-2.8,83.98,95.9
Mattice-Val Côté,Ont.,542,648,-16.4,412.81,1.3
Moonbeam,Ont.,"1,157","1,231",-6,234.46,4.9
Moose Factory 68,Ont.,0,0,0,169.16,0
Moosonee,Ont.,"1,512","1,481",2.1,547.83,2.8
New Post 69A,Ont.,128,94,36.2,1.29,99.5
Opasatika,Ont.,200,226,-11.5,327.09,0.6
Smooth Rock Falls,Ont.,"1,200","1,330",-9.8,199.73,6
Timmins,Ont.,"41,145","41,788",-1.5,"2,955.33",13.9
Val Rita-Harty,Ont.,757,762,-0.7,378.89,2
