Geography,Car_Truck_Van_Less_Than_15,Car_Truck_Van_15_to_29,Car_Truck_Van_30_to_44,Car_Truck_Van_45_to_59,Car_Truck_Van_More_Than_60,Car_Truck_Van_Avg_Duration,Public_Transit_Less_Than_15,Public_Transit_15_to_29,Public_Transit_30_to_44,Public_Transit_45_to_59,Public_Transit_More_Than_60,Public_Transit_Avg_Duration,Active_Transportation_Less_Than_15,Active_Transportation_15_to_29,Active_Transportation_30_to_44,Active_Transportation_45_to_59,Active_Transportation_More_Than_60,Active_Transportation_Avg_Duration,Motorcycle_Scooter_Moped_Less_Than_15,Motorcycle_Scooter_Moped_15_to_29,Motorcycle_Scooter_Moped_30_to_44,Motorcycle_Scooter_Moped_45_to_59,Motorcycle_Scooter_Moped_More_Than_60,Motorcycle_Scooter_Moped_Avg_Duration,Other_Less_Than_15,Other_15_to_29,Other_30_to_44,Other_45_to_59,Other_More_Than_60,Other_Avg_Duration,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Shoal Lake 34B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,81,151,-46.4,1.85,43.7
Shoal Lake 39A,65.0,0.0,0.0,0.0,15.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,445,391,13.8,32.55,13.7
Shoal River Indian Reserve 65A,50.0,0.0,10.0,0.0,10.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man.,759,810,-6.3,3.75,202.6
Shuniah,115.0,140.0,60.0,10.0,10.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,Ont.,3247,2798,16.0,571.34,5.7
Sicamous,380.0,140.0,55.0,20.0,15.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,70.0,40.0,0.0,15.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,2613,2429,7.6,12.8,204.2
Sidney,1520.0,1060.0,695.0,135.0,80.0,19.2,35.0,65.0,40.0,30.0,75.0,43.2,390.0,170.0,10.0,10.0,10.0,13.4,10.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,10.0,10.0,B.C.,12318,11672,5.5,5.11,2412.8
Sifton,55.0,10.0,20.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,Man.,1239,1256,-1.4,839.5,1.5
Sik-e-dakh 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,209,236,-11.4,4.4,47.5
Siksika 146,165.0,410.0,220.0,20.0,55.0,22.5,0.0,0.0,0.0,0.0,10.0,56.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,3576,3479,2.8,703.7,5.1
Silton,15.0,10.0,15.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,Sask.,95,71,33.8,1.06,89.3
Silver Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,55,65,-15.4,0.61,90.5
Silver Sands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,214,160,33.8,2.51,85.2
Silverton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,149,195,-23.6,0.35,420.8
Silverwood No. 123,15.0,55.0,30.0,20.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,355,410,-13.4,827.96,0.4
Simonds,75.0,10.0,0.0,10.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.B.,514,473,8.7,75.57,6.8
Simonds,40.0,45.0,50.0,20.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.6,N.B.,3913,3843,1.8,281.06,13.9
Simonds,75.0,10.0,0.0,10.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.B.,3913,3843,1.8,281.06,13.9
Simonds,40.0,45.0,50.0,20.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.6,N.B.,514,473,8.7,75.57,6.8
Simpson,30.0,20.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,131,127,3.1,1.57,83.2
Sintaluta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,124,119,4.2,2.67,46.5
Sioux Lookout,1700.0,245.0,80.0,20.0,105.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,60.0,10.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,0.0,0.0,15.0,35.5,Ont.,5839,5272,10.8,378.02,15.4
Sioux Narrows-Nestor Falls,90.0,10.0,0.0,25.0,55.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Ont.,727,567,28.2,1215.8,0.6
Sioux Valley Dakota Nation,145.0,10.0,10.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man.,1057,1028,2.8,37.94,27.9
Siska Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,101,90,12.2,0.62,162.5
Skawahlook 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,10,0,0.0,0.5,20.0
Skeetchestn,30.0,15.0,0.0,15.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,242,293,-17.4,79.92,3.0
Skidegate 1,105.0,50.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,697,837,-16.7,5.12,136.0
Skins Lake 16A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,10,5,100.0,0.67,14.9
Skins Lake 16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,0,23,-100.0,0.63,0.0
Skookumchuck 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,30,85,-64.7,2.16,13.9
Skowkale,50.0,25.0,20.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,983,841,16.9,0.72,1373.7
Skuppah 2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,0,0,0.0,0.19,0.0
Skuppah 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,10,5,100.0,0.13,77.6
Skwah 4,45.0,10.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,245,192,27.6,1.16,211.1
Skwali 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,0,10,-100.0,1.35,0.0
Skway 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,89,84,6.0,2.59,34.4
Skwayaynope 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,5,10,-50.0,0.98,5.1
Skweahm 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,228,213,7.0,0.72,316.5
Slave Lake,2005.0,815.0,165.0,150.0,160.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,225.0,65.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,7.4,Alta.,6836,6651,2.8,14.31,477.7
Sliammon 1,60.0,35.0,0.0,0.0,10.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,797,707,12.7,8.14,98.0
Sliding Hills No. 273,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,438,421,4.0,820.7,0.5
Small Point-Adam's Cove-Blackhead-Broad Cove,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.L.,414,387,7.0,23.12,17.9
Smeaton,10.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Sask.,163,182,-10.4,1.46,111.4
Smiley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,25,60,-58.3,0.62,40.1
Smithers,2035.0,680.0,110.0,65.0,75.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,390.0,150.0,25.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,15.0,0.0,0.0,6.2,B.C.,5378,5401,-0.4,15.26,352.4
Smiths Falls,2030.0,1240.0,635.0,280.0,170.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,285.0,120.0,35.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,10.4,Ont.,9254,8780,5.4,9.66,958.1
Smoky Lake,225.0,155.0,75.0,30.0,50.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Alta.,1127,964,16.9,4.26,264.4
Smoky Lake County,100.0,40.0,50.0,15.0,15.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,3874,4107,-5.7,3396.29,1.1
Smooth Rock Falls,130.0,25.0,0.0,15.0,10.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,1200,1330,-9.8,199.73,6.0
Snipe Lake No. 259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,410,396,3.5,1615.91,0.3
Snow Lake,315.0,380.0,20.0,0.0,35.0,20.3,0.0,30.0,10.0,0.0,0.0,22.4,50.0,20.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,10.0,0.0,0.0,30.4,Man.,1088,899,21.0,1166.64,0.9
Soda Creek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,30,59,-49.2,4.03,7.4
Sooke,1145.0,335.0,275.0,100.0,30.0,15.9,20.0,15.0,10.0,0.0,15.0,34.5,150.0,85.0,15.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,15.0,B.C.,15086,13001,16.0,56.6,266.6
Soowahlie 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,255,247,3.2,4.57,55.9
Sorel-Tracy,6920.0,2960.0,740.0,560.0,485.0,16.4,30.0,50.0,15.0,10.0,25.0,32.0,635.0,160.0,60.0,15.0,10.0,11.1,45.0,10.0,0.0,0.0,0.0,7.0,70.0,55.0,15.0,0.0,0.0,14.5,Que.,35165,34755,1.2,57.28,614.0
Souris,140.0,75.0,30.0,20.0,10.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.E.I.,1079,1053,2.5,3.61,299.0
Souris,425.0,165.0,80.0,20.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P.E.I.,1079,1053,2.5,3.61,299.0
Souris Valley No. 7,0.0,15.0,0.0,15.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,220,249,-11.6,804.48,0.3
Souris-Glenwood,325.0,115.0,145.0,20.0,10.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man.,2547,2562,-0.6,579.69,4.4
South Algonquin,125.0,70.0,30.0,20.0,25.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.6,Ont.,1055,1096,-3.7,867.73,1.2
South Baptiste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,70,66,6.1,0.91,77.0
South Brook,35.0,0.0,15.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.L.,420,482,-12.9,8.72,48.1
South Bruce,350.0,270.0,75.0,50.0,35.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,3.2,Ont.,5880,5639,4.3,486.86,12.1
South Bruce Peninsula,745.0,610.0,230.0,25.0,25.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,130.0,15.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,3.5,Ont.,9137,8416,8.6,530.61,17.2
South Frontenac,535.0,495.0,190.0,85.0,25.0,19.9,10.0,0.0,0.0,0.0,0.0,15.6,140.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.6,Ont.,20188,18646,8.3,948.05,21.3
South Glengarry,565.0,685.0,230.0,50.0,40.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,125.0,10.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,Ont.,13330,13150,1.4,605.02,22.0
South Huron,1500.0,1040.0,560.0,250.0,95.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,155.0,40.0,0.0,10.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,5.2,Ont.,10063,10096,-0.3,425.12,23.7
South Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,226,169,33.7,4.95,45.7
South Qu'Appelle No. 157,15.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,Sask.,1231,1275,-3.5,877.75,1.4
South River,235.0,105.0,105.0,15.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,N.L.,674,647,4.2,5.97,113.0
South River,30.0,20.0,0.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.L.,674,647,4.2,5.97,113.0
South River,30.0,20.0,0.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ont.,1101,1114,-1.2,4.11,268.0
South River,235.0,105.0,105.0,15.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Ont.,1101,1114,-1.2,4.11,268.0
South Saanich 1,80.0,25.0,45.0,10.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,712,822,-13.4,2.09,340.9
South Stormont,685.0,930.0,230.0,75.0,90.0,20.1,0.0,10.0,0.0,0.0,0.0,0.0,105.0,15.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,9.2,Ont.,13570,13110,3.5,447.71,30.3
South View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alta.,72,67,7.5,0.44,162.4
Southampton,45.0,15.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.B.,1497,1484,0.9,446.85,3.4
Southend 200,75.0,10.0,10.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,18.5,Sask.,913,917,-0.4,40.25,22.7
Southern Gulf Islands,500.0,270.0,30.0,10.0,45.0,17.8,0.0,0.0,0.0,0.0,10.0,0.0,115.0,30.0,10.0,0.0,10.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,15.0,0.0,0.0,12.6,B.C.,6101,4732,28.9,191.08,31.9
Southesk,15.0,20.0,15.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,N.B.,1666,1694,-1.7,2462.6,0.7
Southey,125.0,85.0,55.0,25.0,10.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Sask.,832,804,3.5,1.56,532.9
Southgate,580.0,415.0,155.0,75.0,80.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,105.0,20.0,25.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0,0.0,0.0,0.0,4.9,Ont.,8716,7354,18.5,643.08,13.6
Southwest Middlesex,410.0,260.0,120.0,50.0,35.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.2,Ont.,5893,5723,3.0,427.82,13.8
Southwold,380.0,550.0,205.0,30.0,20.0,20.4,0.0,30.0,10.0,0.0,0.0,22.0,65.0,0.0,10.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.6,Ont.,4851,4421,9.7,301.38,16.1
Sowchea 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.C.,5,0,0.0,1.0,5.0
Spalding,25.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,213,244,-12.7,1.19,178.3
Spalding No. 368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sask.,420,453,-7.3,811.15,0.5
Spallumcheen,380.0,840.0,245.0,40.0,25.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,B.C.,5307,5106,3.9,254.92,20.8
Spaniard's Bay,160.0,65.0,0.0,0.0,20.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.L.,2630,2653,-0.9,66.09,39.8
