Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Port Hope Simpson,T,N.L.,403,412,-2.2,32.02,12.6
Red Bay,T,N.L.,142,169,-16,2.31,61.3
Sheshatshiu 3 2,IRI,N.L.,"1,225","1,500",-18.3,8.48,144.5
St. Lewis,T,N.L.,181,194,-6.7,10.04,18
Wabush,T,N.L.,"1,964","1,906",3,42.42,46.3
West St. Modeste,T,N.L.,102,111,-8.1,7.6,13.4
"Division No. 11, Subd. C",SNO,N.L.,0,0,...,"26,193.25",0
"Division No. 11, Subd. E",SNO,N.L.,0,0,...,"40,487.59",0
Hopedale,T,N.L.,596,574,3.8,2.18,273.7
Makkovik,T,N.L.,365,377,-3.2,2.95,123.5
Nain,T,N.L.,847,"1,125",-24.7,93.5,9.1
Postville,T,N.L.,188,177,6.2,2.39,78.7
Rigolet,T,N.L.,327,305,7.2,5.27,62
Annandale - Little Pond - Howe Bay 3,RM,P.E.I.,223,207,7.7,31.87,7
Cardigan 3,FD,P.E.I.,125,124,0.8,50.18,2.5
Central Kings 3,FD,P.E.I.,135,98,37.8,33.02,4.1
Central Kings 3,RM,P.E.I.,386,349,10.6,72.94,5.3
"East River, Part 2 3",FD,P.E.I.,575,487,18.1,74.64,7.7
Eastern Kings 3,RM,P.E.I.,687,698,-1.6,141.12,4.9
Morell 3,FD,P.E.I.,"1,209","1,126",7.4,155.29,7.8
Morell,RM,P.E.I.,269,297,-9.4,1.49,180.3
Morell 2,IRI,P.E.I.,25,22,13.6,0.78,31.9
Murray Harbour,RM,P.E.I.,282,258,9.3,3.9,72.3
Murray Harbour 3,FD,P.E.I.,628,540,16.3,42.77,14.7
Murray River,RM,P.E.I.,337,304,10.9,1.54,218.5
"Murray River, Part 1 3",FD,P.E.I.,"1,422","1,372",3.6,174.78,8.1
Souris 3,FD,P.E.I.,"1,766","1,776",-0.6,272.55,6.5
Souris,T,P.E.I.,"1,079","1,053",2.5,3.61,299
Souris West 3,RM,P.E.I.,379,361,5,7.73,49
St. Peters 3,FD,P.E.I.,686,676,1.5,183.44,3.7
St. Peters Bay,RM,P.E.I.,231,237,-2.5,4.44,52
Three Rivers 3,T,P.E.I.,"7,883","7,169",10,431.47,18.3
Abram-Village 3,RM,P.E.I.,340,300,13.3,1.36,250
Alberton,T,P.E.I.,"1,301","1,145",13.6,4.7,277
Alberton 3,FD,P.E.I.,"2,230","2,166",3,157.28,14.2
Bedeque and Area,RM,P.E.I.,311,302,3,2.26,137.5
Borden 3,FD,P.E.I.,809,711,13.8,54.07,15
Borden-Carleton,T,P.E.I.,788,724,8.8,12.94,60.9
Central Prince 3,RM,P.E.I.,"1,129","1,054",7.1,133.78,8.4
"Crapaud, Part 2 3",FD,P.E.I.,548,468,17.1,51.68,10.6
Greenmount-Montrose 3,RM,P.E.I.,262,292,-10.3,26.03,10.1
Kensington,T,P.E.I.,"1,812","1,619",11.9,3.17,571.6
"Kensington, Part 1 3",FD,P.E.I.,"3,090","3,169",-2.5,155.16,19.9
Kinkora 3,FD,P.E.I.,"1,285","1,300",-1.2,134.13,9.6
Kinkora,RM,P.E.I.,388,336,15.5,3.97,97.8
Lennox Island 1 3,IRI,P.E.I.,308,323,-4.6,5.59,55.1
Linkletter 3,RM,P.E.I.,315,300,5,7.88,40
Lot 11 and Area 3,RM,P.E.I.,617,639,-3.4,102.61,6
Malpeque Bay 3,RM,P.E.I.,"1,191","1,030",15.6,98.97,12
Miminegash,RM,P.E.I.,148,148,0,1.88,78.5
Miminegash 3,FD,P.E.I.,"1,089","1,126",-3.3,100.17,10.9
Miscouche,RM,P.E.I.,992,873,13.6,3.49,284.1
Miscouche 3,FD,P.E.I.,849,819,3.7,85.54,9.9
Northport 3,RM,P.E.I.,157,186,-15.6,1.73,90.9
O'Leary,T,P.E.I.,876,815,7.5,1.83,479
O'Leary 3,FD,P.E.I.,"2,566","2,394",7.2,375.5,6.8
Sherbrooke,RM,P.E.I.,178,159,11.9,8.94,19.9
St. Felix 3,RM,P.E.I.,314,325,-3.4,11.54,27.2
St. Louis,RM,P.E.I.,69,66,4.5,0.68,100.8
St. Nicholas 3,RM,P.E.I.,218,213,2.3,20.73,10.5
Summerside 3,CY,P.E.I.,"16,001","14,839",7.8,28.21,567.2
Tignish 3,T,P.E.I.,744,719,3.5,5.87,126.7
Tignish 3,FD,P.E.I.,"1,800","1,812",-0.7,104.43,17.2
Tignish Shore 3,RM,P.E.I.,64,63,1.6,1.65,38.7
Tyne Valley 3,FD,P.E.I.,669,623,7.4,87.63,7.6
Tyne Valley,RM,P.E.I.,229,249,-8,1.94,118.1
Victoria 3,FD,P.E.I.,87,83,4.8,7.07,12.3
Wellington 3,FD,P.E.I.,"1,811","1,874",-3.4,172.1,10.5
Wellington 3,RM,P.E.I.,414,415,-0.2,1.7,244.1
West Point 3,FD,P.E.I.,235,231,1.7,28.08,8.4
Alexandra 3,RM,P.E.I.,252,204,23.5,10.35,24.3
Belfast 3,RM,P.E.I.,"1,687","1,636",3.1,229.27,7.4
Brackley 3,RM,P.E.I.,586,596,-1.7,18.75,31.3
Breadalbane,RM,P.E.I.,170,167,1.8,12.67,13.4
Charlottetown,CY,P.E.I.,"38,809","36,094",7.5,44.27,876.6
Clyde River,RM,P.E.I.,614,653,-6,15.93,38.5
Cornwall,T,P.E.I.,"6,574","5,348",22.9,28.21,233
Crapaud,RM,P.E.I.,361,319,13.2,2.1,172.3
"Crapaud, Part 1 3",FD,P.E.I.,"1,564","1,592",-1.8,152.45,10.3
Crossroads 3,FD,P.E.I.,"1,859","1,746",6.5,53.3,34.9
Darlington 3,RM,P.E.I.,99,90,10,7.72,12.8
"East River, Part 1 3",FD,P.E.I.,"2,307","2,085",10.6,211.17,10.9
Hampshire 3,RM,P.E.I.,339,359,-5.6,13.52,25.1
Hazelbrook 3,RM,P.E.I.,220,193,14,8.09,27.2
Hunter River,RM,P.E.I.,390,356,9.6,6.04,64.5
Johnstons River 3,FD,P.E.I.,371,327,13.5,9.45,39.3
"Kensington, Part 2 3",FD,P.E.I.,549,457,20.1,51.27,10.7
Kingston 3,RM,P.E.I.,"1,111","1,047",6.1,48.38,23
Miltonvale Park 3,RM,P.E.I.,"1,196","1,158",3.3,35.13,34
Montague 3,FD,P.E.I.,74,80,-7.5,30.21,2.4
Mount Stewart,RM,P.E.I.,226,209,8.1,1.52,148.7
"Murray River, Part 2 3",FD,P.E.I.,346,230,50.4,38.87,8.9
New Glasgow 3,FD,P.E.I.,"4,277","3,855",10.9,256.13,16.7
New London 3,FD,P.E.I.,"1,521","1,321",15.1,94.72,16.1
North River 3,FD,P.E.I.,157,134,17.2,17.19,9.1
North Rustico 3,FD,P.E.I.,327,260,25.8,6.56,49.9
North Rustico 3,T,P.E.I.,648,617,5,2.64,245.7
North Shore 3,RM,P.E.I.,"2,500","2,152",16.2,71.13,35.1
North Shore 3,FD,P.E.I.,"1,475","1,406",4.9,48.27,30.6
North Wiltshire 3,RM,P.E.I.,176,202,-12.9,12.43,14.2
Rocky Point 3,IRI,P.E.I.,47,51,-7.8,0.04,"1,108.50"
Scotchfort 4,IRI,P.E.I.,230,200,15,1.43,161
"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico 3",RMU,P.E.I.,359,318,12.9,36.1,9.9
Stratford 3,T,P.E.I.,"10,927","9,711",12.5,22.67,482
Union Road,RM,P.E.I.,213,204,4.4,10.33,20.6
Vernon River 3,FD,P.E.I.,"2,499","2,256",10.8,221.94,11.3
Victoria,RM,P.E.I.,139,74,87.8,1.44,96.5
Warren Grove 3,RM,P.E.I.,374,346,8.1,10.16,36.8
West River 3,RM,P.E.I.,"3,473","3,110",11.7,121.62,28.6
Winsloe North 3,FD,P.E.I.,337,266,26.7,11.58,29.1
York 3,RM,P.E.I.,387,414,-6.5,12.27,31.5
Annapolis Royal,T,N.S.,530,491,7.9,1.98,268.3
"Annapolis, Subd. A",SC,N.S.,"5,980","5,866",1.9,612.44,9.8
"Annapolis, Subd. B",SC,N.S.,"4,587","4,448",3.1,377.16,12.2
"Annapolis, Subd. C",SC,N.S.,"5,218","4,947",5.5,206.51,25.3
"Annapolis, Subd. D",SC,N.S.,"3,049","2,991",1.9,"1,976.25",1.5
Bear River (Part) 6,IRI,N.S.,0,0,...,3.1,0
Bear River 6B,IRI,N.S.,15,16,-6.3,0.24,62
Middleton,T,N.S.,"1,873","1,832",2.2,5.55,337.3
Antigonish,T,N.S.,"4,656","4,364",6.7,4.98,934.5
"Antigonish, Subd. A",SC,N.S.,"8,963","8,278",8.3,926.43,9.7
"Antigonish, Subd. B",SC,N.S.,"6,138","6,306",-2.7,522.29,11.8
Paqtnkek-Niktuek No. 23,IRI,N.S.,372,353,5.4,2.71,137
Cape Breton 3,RGM,N.S.,"93,694","94,285",-0.6,"2,419.70",38.7
Eskasoni 3,IRI,N.S.,"3,521","3,422",2.9,36.03,97.7
Membertou 28B,IRI,N.S.,"1,103","1,015",8.7,1.48,745.7
"Colchester, Subd. A",SC,N.S.,"3,762","3,459",8.8,877.35,4.3
"Colchester, Subd. B",SC,N.S.,"19,806","19,534",1.4,"1,248.24",15.9
"Colchester, Subd. C",SC,N.S.,"12,476","13,098",-4.7,"1,443.12",8.6
Millbrook 27,IRI,N.S.,921,860,7.1,3.65,252.1
Stewiacke,T,N.S.,"1,557","1,373",13.4,17.62,88.4
Truro,T,N.S.,"12,954","12,261",5.7,37.52,345.3
Amherst,T,N.S.,"9,404","9,413",-0.1,12.07,779.4
"Cumberland, Subd. A 3",SC,N.S.,"3,201","3,120",2.6,"1,135.55",2.8
"Cumberland, Subd. B",SC,N.S.,"6,786","6,859",-1.1,"1,168.37",5.8
"Cumberland, Subd. C",SC,N.S.,"5,694","5,268",8.1,896.22,6.4
"Cumberland, Subd. D",SC,N.S.,"4,283","4,155",3.1,"1,052.90",4.1
Oxford,T,N.S.,"1,170","1,190",-1.7,10.68,109.6
Bear River (Part) 6,IRI,N.S.,141,138,2.2,3.4,41.5
Clare,MD,N.S.,"7,678","8,018",-4.2,851.14,9
Digby,MD,N.S.,"7,242","7,107",1.9,"1,654.59",4.4
Digby,T,N.S.,"2,001","2,060",-2.9,3.16,634
Guysborough,MD,N.S.,"4,585","4,670",-1.8,"2,115.25",2.2
Mulgrave,T,N.S.,627,722,-13.2,17.83,35.2
St. Mary's,MD,N.S.,"2,161","2,233",-3.2,"1,904.08",1.1
Beaver Lake 17,IRI,N.S.,20,21,-4.8,0.83,24
Cole Harbour 30,IRI,N.S.,208,203,2.5,0.19,"1,106.40"
Halifax,RGM,N.S.,"439,819","403,131",9.1,"5,475.57",80.3
Sheet Harbour 36,IRI,N.S.,10,25,-60,0.5,20
Wallace Hills 14A,IRI,N.S.,15,10,50,0.44,34.2
East Hants,MD,N.S.,"22,892","22,453",2,"1,786.53",12.8
Indian Brook 14,IRI,N.S.,"2,739","1,089",151.5,12.15,225.5
West Hants 3,RM,N.S.,"19,509","19,016",2.6,"1,250.50",15.6
"Inverness, Subd. A",SC,N.S.,"5,207","5,076",2.6,"2,017.79",2.6
"Inverness, Subd. B",SC,N.S.,"4,865","4,928",-1.3,751.9,6.5
"Inverness, Subd. C 3",SC,N.S.,"3,167","3,166",0,"1,025.65",3.1
Malagawatch 4 3,IRI,N.S.,20,20,0,6.69,3
Port Hawkesbury,T,N.S.,"3,210","3,214",-0.1,8.1,396.3
Whycocomagh 2,IRI,N.S.,877,831,5.5,7.48,117.3
Annapolis Valley First Nation,IRI,N.S.,743,140,430.7,0.65,"1,148.60"
Berwick,T,N.S.,"2,455","2,509",-2.2,6.53,375.8
Glooscap 35,IRI,N.S.,111,81,37,1.71,64.9
Kentville,T,N.S.,"6,630","6,271",5.7,17.08,388.2
"Kings, Subd. A",SC,N.S.,"22,355","22,234",0.5,"1,233.05",18.1
"Kings, Subd. B",SC,N.S.,"11,951","11,858",0.8,346.02,34.5
"Kings, Subd. C",SC,N.S.,"8,348","8,093",3.2,243.95,34.2
"Kings, Subd. D",SC,N.S.,"5,264","5,219",0.9,264.86,19.9
Wolfville,T,N.S.,"5,057","4,195",20.5,6.46,783.3
Bridgewater,T,N.S.,"8,790","8,532",3,13.63,644.9
Chester,MD,N.S.,"10,693","10,310",3.7,"1,120.61",9.5
Gold River 21,IRI,N.S.,81,95,-14.7,2.79,29.1
Lunenburg,MD,N.S.,"25,545","24,863",2.7,"1,757.79",14.5
Lunenburg,T,N.S.,"2,396","2,263",5.9,4.04,593.3
Mahone Bay,T,N.S.,"1,064","1,036",2.7,3.12,341.4
New Ross 20,IRI,N.S.,0,0,...,4.05,0
Pennal 19,IRI,N.S.,30,27,11.1,0.44,67.5
Fisher's Grant 24,IRI,N.S.,449,485,-7.4,1.54,291.4
Merigomish Harbour 31,IRI,N.S.,0,0,...,0.23,0
New Glasgow,T,N.S.,"9,471","9,075",4.4,9.96,951.3
Pictou,T,N.S.,"3,107","3,186",-2.5,7.99,388.7
"Pictou, Subd. A",SC,N.S.,"6,153","6,075",1.3,769.64,8
"Pictou, Subd. B",SC,N.S.,"6,137","6,174",-0.6,770.57,8
"Pictou, Subd. C",SC,N.S.,"8,386","8,443",-0.7,"1,254.87",6.7
Stellarton,T,N.S.,"4,007","4,208",-4.8,8.99,445.6
Trenton,T,N.S.,"2,407","2,474",-2.7,6.07,396.7
Westville,T,N.S.,"3,540","3,628",-2.4,14.24,248.6
Medway River 11 3,IRI,N.S.,15,5,200,0.06,239.2
Ponhook Lake 10,IRI,N.S.,15,15,0,1.11,13.5
Queens 3,RGM,N.S.,"10,422","10,302",1.2,"2,387.52",4.4
Wildcat 12,IRI,N.S.,49,29,69,4.74,10.3
Chapel Island 5,IRI,N.S.,405,506,-20,5.62,72.1
"Richmond, Subd. A",SC,N.S.,"3,763","3,796",-0.9,464.88,8.1
"Richmond, Subd. B 3",SC,N.S.,"1,610","1,512",6.5,646.26,2.5
"Richmond, Subd. C",SC,N.S.,"3,136","3,150",-0.4,129.32,24.2
Barrington,MD,N.S.,"6,523","6,646",-1.9,631.98,10.3
Clark's Harbour,T,N.S.,725,758,-4.4,2.82,257.3
Lockeport,T,N.S.,476,531,-10.4,2.32,205.4
Shelburne,MD,N.S.,"4,336","4,288",1.1,"1,816.71",2.4
Shelburne,T,N.S.,"1,644","1,743",-5.7,8.75,187.9
"Victoria, Subd. A",SC,N.S.,"2,673","2,567",4.1,"1,603.85",1.7
"Victoria, Subd. B",SC,N.S.,"4,077","3,985",2.3,"1,228.63",3.3
Wagmatcook 1,IRI,N.S.,691,537,28.7,3.72,185.8
Argyle,MD,N.S.,"7,870","7,899",-0.4,"1,526.07",5.2
Yarmouth,MD,N.S.,"10,067","9,845",2.3,584.69,17.2
Yarmouth,T,N.S.,"6,829","6,518",4.8,10.57,646.3
Yarmouth 33,IRI,N.S.,181,157,15.3,0.31,579
Alma,VL,N.B.,282,213,32.4,47.64,5.9
Alma,P,N.B.,5,5,0,222.74,0
Coverdale,P,N.B.,"4,766","4,466",6.7,236,20.2
Elgin,P,N.B.,"1,064",892,19.3,519.54,2
Harvey,P,N.B.,358,333,7.5,276.85,1.3
Hillsborough,P,N.B.,"1,397","1,308",6.8,304.03,4.6
Hillsborough,VL,N.B.,"1,348","1,277",5.6,12.81,105.2
Hopewell,P,N.B.,597,647,-7.7,149.14,4
Riverside-Albert,VL,N.B.,348,350,-0.6,3.39,102.8
Riverview,TV,N.B.,"20,584","19,667",4.7,34.1,603.7
Aberdeen,P,N.B.,812,781,4,444.88,1.8
Bath,VL,N.B.,440,476,-7.6,2,220
Brighton,P,N.B.,"1,596","1,735",-8,509.3,3.1
Centreville,VL,N.B.,508,557,-8.8,2.67,190.4
Florenceville-Bristol,TV,N.B.,"1,573","1,604",-1.9,15.74,100
Hartland,TV,N.B.,933,957,-2.5,9.5,98.2
Kent,P,N.B.,"1,966","2,153",-8.7,839.76,2.3
Northampton,P,N.B.,"1,875","1,724",8.8,243.31,7.7
Peel,P,N.B.,"1,198","1,196",0.2,112.74,10.6
Richmond,P,N.B.,"1,456","1,303",11.7,258.8,5.6
Simonds,P,N.B.,514,473,8.7,75.57,6.8
Wakefield,P,N.B.,"2,722","2,767",-1.6,196.31,13.9
Wicklow,P,N.B.,"1,591","1,697",-6.2,195.5,8.1
Wilmot,P,N.B.,969,"1,022",-5.2,191.4,5.1
Woodstock 2,P,N.B.,"2,219","2,178",1.9,194.83,11.4
Woodstock,TV,N.B.,"5,553","5,228",6.2,14.96,371.1
Woodstock 23,IRI,N.B.,435,327,33,1.8,242.2
Blacks Harbour,VL,N.B.,907,894,1.5,9.02,100.6
Campobello Island,RCR,N.B.,949,872,8.8,39.59,24
Clarendon,P,N.B.,66,63,4.8,492.11,0.1
Dufferin,P,N.B.,565,573,-1.4,12.34,45.8
Dumbarton,P,N.B.,346,335,3.3,373.2,0.9
Grand Manan,P,N.B.,139,145,-4.1,5.96,23.3
Grand Manan,VL,N.B.,"2,595","2,360",10,150.56,17.2
Lepreau,P,N.B.,803,707,13.6,209.52,3.8
Pennfield,P,N.B.,"2,222","2,170",2.4,363.75,6.1
Saint Andrews,P,N.B.,550,553,-0.5,24.27,22.7
Saint Andrews,TV,N.B.,"2,048","1,786",14.7,8.35,245.3
Saint Croix,P,N.B.,648,657,-1.4,78.6,8.2
Saint David,P,N.B.,"1,470","1,529",-3.9,190.39,7.7
Saint George,P,N.B.,"2,495","2,341",6.6,500.05,5
Saint James,P,N.B.,"1,024","1,186",-13.7,552.9,1.9
Saint Patrick,P,N.B.,710,689,3,236.59,3
Saint Stephen,P,N.B.,"1,671","1,839",-9.1,102.83,16.3
St. George,TV,N.B.,"1,579","1,517",4.1,16.17,97.7
St. Stephen,TV,N.B.,"4,510","4,415",2.2,13.72,328.7
West Isles,P,N.B.,718,797,-9.9,38.32,18.7
Allardville,P,N.B.,"1,949","2,032",-4.1,654.6,3
Bas-Caraquet,VL,N.B.,"1,311","1,305",0.5,30.93,42.4
Bathurst,P,N.B.,"4,761","4,797",-0.8,"1,502.74",3.2
Bathurst,C,N.B.,"12,157","11,897",2.2,91.62,132.7
Beresford,P,N.B.,"6,226","6,248",-0.4,455.61,13.7
Beresford,TV,N.B.,"4,294","4,288",0.1,19.24,223.2
Bertrand,VL,N.B.,"1,153","1,166",-1.1,57.01,20.2
Caraquet,P,N.B.,"1,261","1,337",-5.7,109.32,11.5
Caraquet,TV,N.B.,"4,285","4,248",0.9,68.13,62.9
Grande-Anse,VL,N.B.,731,899,-18.7,24.27,30.1
Inkerman,P,N.B.,"2,373","2,366",0.3,107.63,22
Lamèque,TV,N.B.,"1,301","1,285",1.2,12.4,104.9
Le Goulet,VL,N.B.,749,793,-5.5,5.4,138.6
Maisonnette,VL,N.B.,535,495,8.1,12.91,41.4
New Bandon,P,N.B.,"1,200","1,214",-1.2,359.28,3.3
Nigadoo,VL,N.B.,997,963,3.5,7.65,130.4
Pabineau 11,IRI,N.B.,133,134,-0.7,4.92,27
Paquetville,P,N.B.,"2,250","2,329",-3.4,220.42,10.2
Paquetville,VL,N.B.,718,720,-0.3,9.26,77.5
Petit-Rocher,VL,N.B.,"1,954","1,897",3,4.52,432.2
Pointe-Verte,VL,N.B.,865,886,-2.4,13.76,62.9
Saint-Isidore,P,N.B.,"1,312","1,361",-3.6,173.14,7.6
Saint-Isidore,VL,N.B.,810,764,6,22.94,35.3
Saint-Léolin,VL,N.B.,615,647,-4.9,19.73,31.2
Sainte-Marie-Saint-Raphaël,VL,N.B.,820,879,-6.7,15.84,51.8
Shippagan,P,N.B.,"4,781","4,800",-0.4,204.52,23.4
Shippagan,TV,N.B.,"2,672","2,580",3.6,9.96,268.3
Tracadie,MRM,N.B.,"16,043","16,114",-0.4,516.55,31.1
Acadieville,P,N.B.,752,709,6.1,332.08,2.3
Bouctouche,TV,N.B.,"2,513","2,361",6.4,18.33,137.1
Buctouche 16,IRI,N.B.,101,96,5.2,0.38,266.6
Carleton,P,N.B.,764,708,7.9,435.23,1.8
Cocagne,RCR,N.B.,"2,757","2,649",4.1,69.23,39.8
Dundas,P,N.B.,"4,332","3,914",10.7,172.32,25.1
Harcourt,P,N.B.,346,346,0,"1,169.20",0.3
Huskisson,P,N.B.,5,15,-66.7,369.31,0
Indian Island 28 3,IRI,N.B.,116,153,-24.2,0.4,288.8
Rexton,VL,N.B.,874,830,5.3,6.29,138.9
Richibucto 3,P,N.B.,"2,085","1,872",11.4,249.21,8.4
Richibucto,TV,N.B.,"1,411","1,266",11.5,11.9,118.6
Richibucto 15 3,IRI,N.B.,"2,062","1,942",6.2,15.38,134.1
Saint Mary,P,N.B.,"1,991","1,972",1,238.32,8.4
Saint-Antoine,VL,N.B.,"1,791","1,733",3.3,6.32,283.6
Saint-Charles,P,N.B.,"2,024","1,997",1.4,175.07,11.6
Saint-Louis,P,N.B.,"1,760","1,802",-2.3,258.65,6.8
Saint-Louis de Kent,VL,N.B.,981,856,14.6,1.98,494.6
Saint-Paul,P,N.B.,877,842,4.2,228.41,3.8
Weldford 3,P,N.B.,"1,335","1,333",0.2,607.56,2.2
Wellington,P,N.B.,"3,292","3,079",6.9,184.8,17.8
Cardwell,P,N.B.,"1,401","1,353",3.5,311.87,4.5
Grand Bay-Westfield,TV,N.B.,"4,967","4,964",0.1,59.82,83
Greenwich,P,N.B.,"1,126","1,058",6.4,114.56,9.8
Hammond,P,N.B.,276,251,10,244.24,1.1
Hampton,P,N.B.,"2,969","2,809",5.7,121.24,24.5
Hampton,TV,N.B.,"4,395","4,289",2.5,20.97,209.6
Havelock,P,N.B.,"1,042","1,061",-1.8,349.22,3
Kars,P,N.B.,377,325,16,75.54,5
Kingston,P,N.B.,"3,202","2,913",9.9,200.41,16
Norton,P,N.B.,"1,325","1,301",1.8,144.77,9.2
Norton,VL,N.B.,"1,410","1,382",2,75.35,18.7
Quispamsis,TV,N.B.,"18,768","18,245",2.9,56.97,329.4
Rothesay,P,N.B.,342,325,5.2,7.26,47.1
Rothesay,TV,N.B.,"11,977","11,659",2.7,34.59,346.2
Springfield,P,N.B.,"1,641","1,525",7.6,248.53,6.6
Studholm,P,N.B.,"3,527","3,522",0.1,448.98,7.9
Sussex,P,N.B.,"2,579","2,516",2.5,243.99,10.6
Sussex,TV,N.B.,"4,440","4,282",3.7,8.9,498.9
Sussex Corner,VL,N.B.,"1,458","1,461",-0.2,9.32,156.4
Upham,P,N.B.,"1,357","1,269",6.9,189.21,7.2
Waterford,P,N.B.,491,469,4.7,221.27,2.2
Westfield,P,N.B.,"2,114","1,962",7.7,295.34,7.2
Edmundston,C,N.B.,"16,437","16,580",-0.9,106.84,153.8
Haut-Madawaska 3,RCR,N.B.,"3,720","3,714",0.2,611.55,6.1
Lac Baker,VL,N.B.,685,690,-0.7,37.24,18.4
Madawaska,P,N.B.,0,10,-100,173.42,0
Notre-Dame-de-Lourdes,P,N.B.,253,275,-8,186.3,1.4
Rivière-Verte,VL,N.B.,744,724,2.8,6.91,107.7
Rivière-Verte,P,N.B.,657,711,-7.6,715.72,0.9
Saint-André 3,RCR,N.B.,"1,794","1,901",-5.6,136.19,13.2
Saint-Basile,P,N.B.,736,592,24.3,129.96,5.7
Saint-Jacques,P,N.B.,"1,652","1,596",3.5,298.44,5.5
Saint-Joseph,P,N.B.,"1,549","1,538",0.7,321.42,4.8
Saint-Léonard,P,N.B.,858,975,-12,344.85,2.5
Saint-Léonard,TV,N.B.,"1,322","1,300",1.7,5.34,247.8
Sainte-Anne,P,N.B.,936,964,-2.9,368.76,2.5
Sainte-Anne-de-Madawaska,VL,N.B.,891,957,-6.9,8.97,99.4
St. Basile 10,IRI,N.B.,369,214,72.4,3.07,120.4
Alnwick,P,N.B.,"3,615","3,640",-0.7,668.84,5.4
Big Hole Tract 8 (North Half) 3,IRI,N.B.,30,25,20,12.72,2.4
Big Hole Tract 8 (South Half) 3,IRI,N.B.,16,23,-30.4,15.14,1.1
Blackville,P,N.B.,"1,996","2,028",-1.6,823.93,2.4
Blackville,VL,N.B.,914,958,-4.6,20.97,43.6
Blissfield,P,N.B.,491,451,8.9,"1,235.57",0.4
Chatham,P,N.B.,527,511,3.1,22.7,23.2
Derby,P,N.B.,938,976,-3.9,61,15.4
Doaktown,VL,N.B.,808,792,2,29.09,27.8
Eel Ground 2,IRI,N.B.,545,532,2.4,10.9,50
Esgenoôpetitj 14,IRI,N.B.,"1,223","1,179",3.7,9.55,128
Glenelg,P,N.B.,"1,532","1,560",-1.8,504.78,3
Hardwicke,P,N.B.,"2,203","2,201",0.1,275.95,8
Miramichi,C,N.B.,"17,692","17,537",0.9,178.98,98.8
Neguac,VL,N.B.,"1,692","1,684",0.5,26.72,63.3
Nelson 3,P,N.B.,929,952,-2.4,353.68,2.6
Newcastle,P,N.B.,"1,149","1,136",1.1,578.7,2
Northesk,P,N.B.,"2,169","2,263",-4.2,"3,346.76",0.6
Red Bank 4,IRI,N.B.,400,309,29.4,16.09,24.9
Renous 12 3,IRI,N.B.,10,5,100,0.16,63.9
Rogersville,P,N.B.,"1,072","1,102",-2.7,326.27,3.3
Rogersville,VL,N.B.,"1,193","1,166",2.3,7.19,165.9
Southesk,P,N.B.,"1,666","1,694",-1.7,"2,462.60",0.7
Tabusintac 9,IRI,N.B.,20,10,100,22.11,0.9
Upper Miramichi,RCR,N.B.,"2,175","2,218",-1.9,"1,832.97",1.2
Brunswick,P,N.B.,224,203,10.3,703.2,0.3
Cambridge,P,N.B.,684,647,5.7,113.17,6
Cambridge-Narrows,VL,N.B.,715,562,27.2,106.79,6.7
Canning,P,N.B.,"1,028",924,11.3,173.25,5.9
Chipman,P,N.B.,853,913,-6.6,483.45,1.8
Chipman,VL,N.B.,"1,201","1,104",8.8,19,63.2
Gagetown,P,N.B.,324,311,4.2,234.58,1.4
Gagetown,VL,N.B.,787,711,10.7,49.32,16
Hampstead,P,N.B.,288,277,4,212.39,1.4
Johnston,P,N.B.,638,560,13.9,360.87,1.8
Minto,VL,N.B.,"2,234","2,305",-3.1,31.36,71.2
Petersville,P,N.B.,710,681,4.3,589.95,1.2
Waterborough,P,N.B.,903,847,6.6,443.16,2
Wickham,P,N.B.,409,427,-4.2,160.54,2.5
Addington,P,N.B.,698,656,6.4,933,0.7
Atholville,VL,N.B.,"3,290","3,570",-7.8,119.58,27.5
Balmoral,P,N.B.,309,278,11.2,"1,088.01",0.3
Balmoral,VL,N.B.,"1,603","1,674",-4.2,43.33,37
Belledune,VL,N.B.,"1,325","1,417",-6.5,189.18,7
Campbellton,C,N.B.,"7,047","6,883",2.4,18.57,379.5
Charlo,VL,N.B.,"1,323","1,310",1,31.45,42.1
Colborne,P,N.B.,266,227,17.2,753.38,0.4
Dalhousie,P,N.B.,"1,090","1,067",2.2,62.62,17.4
Dalhousie,TV,N.B.,"3,223","3,126",3.1,15.12,213.1
Durham,P,N.B.,950,"1,076",-11.7,409.78,2.3
Eel River 3,IRI,N.B.,342,329,4,1.45,235.9
Eel River Crossing,VL,N.B.,"1,844","1,953",-5.6,65.26,28.3
Eldon 4,P,N.B.,674,672,0.3,"1,688.58",0.4
Indian Ranch,IRI,N.B.,134,89,50.6,0.58,232.2
