Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
St. Pauls,T,N.L.,202,238,-15.1,6.34,31.9
Trout River,T,N.L.,508,552,-8,5.83,87.1
"Woody Point, Bonne Bay",T,N.L.,244,282,-13.5,3.78,64.5
"Cartwright, Labrador",T,N.L.,439,427,2.8,5.87,74.8
Charlottetown (Labrador),T,N.L.,292,290,0.7,26.47,11
"Division No. 10, Subd. A",SNO,N.L.,55,61,-9.8,"3,673.46",0
"Division No. 10, Subd. B",SNO,N.L.,211,369,-42.8,"35,501.56",0
"Division No. 10, Subd. C 2",SNO,N.L.,54,71,-23.9,"62,096.93",0
"Division No. 10, Subd. D",SNO,N.L.,732,705,3.8,"64,922.38",0
"Division No. 10, Subd. E",SNO,N.L.,0,0,...,"24,865.49",0
Forteau,T,N.L.,377,409,-7.8,7.5,50.3
Happy Valley-Goose Bay,T,N.L.,"8,040","8,109",-0.9,304.52,26.4
L'Anse au Loup,T,N.L.,692,558,24,3.39,203.9
L'Anse-au-Clair,T,N.L.,219,216,1.4,60.65,3.6
Labrador City,T,N.L.,"7,412","7,220",2.7,34.11,217.3
Mary's Harbour,T,N.L.,312,341,-8.5,34.25,9.1
Natuashish 2 2,IRI,N.L.,856,938,-8.7,44.01,19.5
North West River,T,N.L.,560,547,2.4,3.55,157.9
Pinware,T,N.L.,64,88,-27.3,4.08,15.7
